Finalista,Series,Tournament,Year,WRank,Surface,LRank,Tournament_Year
Raonic M.,ATP250,SAP Open,2011,84,Hard,0,SAP Open_2011
Almagro N.,ATP250,Copa Claro,2011,13,Clay,0,Copa Claro_2011
Soderling R.,ATP250,Open 13,2011,4,Hard,0,Open 13_2011
Roddick A.,ATP500,Regions Morgan Keegan Championships,2011,8,Hard,0,Regions Morgan Keegan Championships_2011
Ferrer D.,ATP500,Abierto Mexicano,2011,6,Clay,0,Abierto Mexicano_2011
Del Potro J.M.,ATP250,International Championships,2011,166,Hard,0,International Championships_2011
Djokovic N.,ATP500,Dubai Tennis Championships,2011,3,Hard,0,Dubai Tennis Championships_2011
Djokovic N.,Masters 1000,BNP Paribas Open,2011,3,Hard,0,BNP Paribas Open_2011
Djokovic N.,Masters 1000,Sony Ericsson Open,2011,2,Hard,0,Sony Ericsson Open_2011
Andujar P.,ATP250,Grand Prix Hassan II,2011,69,Clay,0,Grand Prix Hassan II_2011
Sweeting R.,ATP250,U.S. Men's Clay Court Championships,2011,61,Clay,0,U.S. Men's Clay Court Championships_2011
Nadal R.,Masters 1000,Monte Carlo Masters,2011,1,Clay,0,Monte Carlo Masters_2011
Nadal R.,ATP500,Open Banco Sabadell ,2011,1,Clay,0,Open Banco Sabadell _2011
Djokovic N.,ATP250,Serbia Open,2011,2,Clay,0,Serbia Open_2011
Del Potro J.M.,ATP250,Estoril Open,2011,46,Clay,0,Estoril Open_2011
Davydenko N.,ATP250,BMW Open,2011,40,Clay,0,BMW Open_2011
Djokovic N.,Masters 1000,Mutua Madrileña Madrid Open,2011,2,Clay,0,Mutua Madrileña Madrid Open_2011
Djokovic N.,Masters 1000,Internazionali BNL d'Italia,2011,2,Clay,0,Internazionali BNL d'Italia_2011
Almagro N.,ATP250,Open de Nice Côte dAzur,2011,12,Clay,0,Open de Nice Côte dAzur_2011
Nadal R.,Grand Slam,French Open,2011,1,Clay,0,French Open_2011
Kohlschreiber P.,ATP250,Gerry Weber Open,2011,49,Grass,0,Gerry Weber Open_2011
Murray A.,ATP250,AEGON Championships,2011,4,Grass,0,AEGON Championships_2011
Seppi A.,ATP250,AEGON International,2011,51,Grass,0,AEGON International_2011
Tursunov D.,ATP250,Unicef Open,2011,70,Grass,0,Unicef Open_2011
Djokovic N.,Grand Slam,Wimbledon,2011,2,Grass,0,Wimbledon_2011
Isner J.,ATP250,Hall of Fame Championships,2011,46,Grass,0,Hall of Fame Championships_2011
Soderling R.,ATP250,SkiStar Swedish Open,2011,5,Clay,0,SkiStar Swedish Open_2011
Ferrero J.C.,ATP250,Mercedes Cup,2011,85,Clay,0,Mercedes Cup_2011
Fish M.,ATP250,Atlanta Tennis Championships,2011,9,Hard,0,Atlanta Tennis Championships_2011
Simon G.,ATP500,German Open Tennis Championships ,2011,18,Clay,0,German Open Tennis Championships _2011
Granollers M.,ATP250,Allianz Suisse Open,2011,45,Clay,0,Allianz Suisse Open_2011
Gulbis E.,ATP250,Farmers Classic,2011,84,Hard,0,Farmers Classic_2011
Dolgopolov O.,ATP250,Studena Croatia Open,2011,26,Clay,0,Studena Croatia Open_2011
Haase R.,ATP250,Bet-At-Home Cup,2011,53,Clay,0,Bet-At-Home Cup_2011
Stepanek R.,ATP500,Legg Mason Classic,2011,54,Hard,0,Legg Mason Classic_2011
Djokovic N.,Masters 1000,Rogers Masters,2011,1,Hard,0,Rogers Masters_2011
Murray A.,Masters 1000,Western & Southern Financial Group Masters,2011,4,Hard,0,Western & Southern Financial Group Masters_2011
Isner J.,ATP250,Winston-Salem Open at Wake Forest University,2011,28,Hard,0,Winston-Salem Open at Wake Forest University_2011
Djokovic N.,Grand Slam,US Open,2011,1,Hard,0,US Open_2011
Mayer F.,ATP250,Open Romania,2011,24,Clay,0,Open Romania_2011
Tsonga J.W.,ATP250,Open de Moselle,2011,10,Hard,0,Open de Moselle_2011
Murray A.,ATP250,Thailand Open,2011,4,Hard,0,Thailand Open_2011
Tipsarevic J.,ATP250,Malaysian Open,2011,17,Hard,0,Malaysian Open_2011
Berdych T.,ATP500,China Open,2011,10,Hard,0,China Open_2011
Murray A.,ATP500,Rakuten Japan Open Tennis Championships,2011,4,Hard,0,Rakuten Japan Open Tennis Championships_2011
Murray A.,Masters 1000,Shanghai Masters,2011,4,Hard,0,Shanghai Masters_2011
Tipsarevic J.,ATP250,Kremlin Cup,2011,14,Hard,0,Kremlin Cup_2011
Monfils G.,ATP250,Stockholm Open,2011,10,Hard,0,Stockholm Open_2011
Cilic M.,ATP250,St. Petersburg Open,2011,22,Hard,0,St. Petersburg Open_2011
Tsonga J.W.,ATP250,Erste Bank Open,2011,9,Hard,0,Erste Bank Open_2011
Federer R.,ATP500,Swiss Indoors,2011,4,Hard,0,Swiss Indoors_2011
Granollers M.,ATP500,Valencia Open 500,2011,34,Hard,0,Valencia Open 500_2011
Federer R.,Masters 1000,BNP Paribas Masters,2011,4,Hard,0,BNP Paribas Masters_2011
Murray A.,ATP250,Brisbane International,2012,4,Hard,0,Brisbane International_2012
Raonic M.,ATP250,Chennai Open,2012,31,Hard,0,Chennai Open_2012
Tsonga J.W.,ATP250,Qatar Exxon Mobil Open,2012,6,Hard,0,Qatar Exxon Mobil Open_2012
Ferrer D.,ATP250,Heineken Open,2012,5,Hard,0,Heineken Open_2012
Nieminen J.,ATP250,Apia International,2012,77,Hard,0,Apia International_2012
Djokovic N.,Grand Slam,Australian Open,2012,1,Hard,0,Australian Open_2012
Berdych T.,ATP250,Open Sud de France,2012,7,Hard,0,Open Sud de France_2012
Monaco J.,ATP250,VTR Open ,2012,29,Clay,0,VTR Open _2012
Youzhny M.,ATP250,PBZ Zagreb Indoors,2012,39,Hard,0,PBZ Zagreb Indoors_2012
Federer R.,ATP500,ABN AMRO World Tennis Tournament,2012,3,Hard,0,ABN AMRO World Tennis Tournament_2012
Raonic M.,ATP250,SAP Open,2012,32,Hard,0,SAP Open_2012
Almagro N.,ATP250,Brasil Open,2012,11,Clay,0,Brasil Open_2012
Ferrer D.,ATP250,Copa Claro,2012,5,Clay,0,Copa Claro_2012
Del Potro J.M.,ATP250,Open 13,2012,10,Hard,0,Open 13_2012
Melzer J.,ATP500,Regions Morgan Keegan Championships,2012,38,Hard,0,Regions Morgan Keegan Championships_2012
Ferrer D.,ATP500,Abierto Mexicano,2012,6,Clay,0,Abierto Mexicano_2012
Anderson K.,ATP250,International Championships,2012,36,Hard,0,International Championships_2012
Federer R.,ATP500,Dubai Tennis Championships,2012,3,Hard,0,Dubai Tennis Championships_2012
Federer R.,Masters 1000,BNP Paribas Open,2012,3,Hard,0,BNP Paribas Open_2012
Djokovic N.,Masters 1000,Sony Ericsson Open,2012,1,Hard,0,Sony Ericsson Open_2012
Andujar P.,ATP250,Grand Prix Hassan II,2012,58,Clay,0,Grand Prix Hassan II_2012
Monaco J.,ATP250,U.S. Men's Clay Court Championships,2012,16,Clay,0,U.S. Men's Clay Court Championships_2012
Nadal R.,Masters 1000,Monte Carlo Masters,2012,2,Clay,0,Monte Carlo Masters_2012
Nadal R.,ATP500,Open Banco Sabadell ,2012,2,Clay,0,Open Banco Sabadell _2012
Simon G.,ATP250,BRD Nastase Tiriac Trophy,2012,12,Clay,0,BRD Nastase Tiriac Trophy_2012
Seppi A.,ATP250,Serbia Open,2012,46,Clay,0,Serbia Open_2012
Del Potro J.M.,ATP250,Estoril Open,2012,12,Clay,0,Estoril Open_2012
Kohlschreiber P.,ATP250,BMW Open,2012,34,Clay,0,BMW Open_2012
Federer R.,Masters 1000,Mutua Madrid Open,2012,3,Clay,0,Mutua Madrid Open_2012
Nadal R.,Masters 1000,Internazionali BNL d'Italia,2012,3,Clay,0,Internazionali BNL d'Italia_2012
Almagro N.,ATP250,Open de Nice Côte dAzur,2012,11,Clay,0,Open de Nice Côte dAzur_2012
Nadal R.,Grand Slam,French Open,2012,2,Clay,0,French Open_2012
Haas T.,ATP250,Gerry Weber Open,2012,87,Grass,0,Gerry Weber Open_2012
Cilic M.,ATP250,AEGON Championships,2012,25,Grass,0,AEGON Championships_2012
Roddick A.,ATP250,AEGON International,2012,33,Grass,0,AEGON International_2012
Ferrer D.,ATP250,Unicef Open,2012,6,Grass,0,Unicef Open_2012
Federer R.,Grand Slam,Wimbledon,2012,3,Grass,0,Wimbledon_2012
Ferrer D.,ATP250,SkiStar Swedish Open,2012,5,Clay,0,SkiStar Swedish Open_2012
Isner J.,ATP250,Hall of Fame Championships,2012,11,Grass,0,Hall of Fame Championships_2012
Tipsarevic J.,ATP250,Mercedes Cup,2012,8,Clay,0,Mercedes Cup_2012
Cilic M.,ATP250,ATP Vegeta Croatia Open,2012,15,Clay,0,ATP Vegeta Croatia Open_2012
Roddick A.,ATP250,BB&T Atlanta Open,2012,27,Hard,0,BB&T Atlanta Open_2012
Bellucci T.,ATP250,Crédit Agricole Suisse Open Gstaad,2012,60,Clay,0,Crédit Agricole Suisse Open Gstaad_2012
Monaco J.,ATP500,German Open Tennis Championships ,2012,14,Clay,0,German Open Tennis Championships _2012
Haase R.,ATP250,Bet-At-Home Cup,2012,42,Clay,0,Bet-At-Home Cup_2012
Querrey S.,ATP250,Farmers Classic,2012,57,Hard,0,Farmers Classic_2012
Dolgopolov O.,ATP500,Citi Open,2012,25,Hard,0,Citi Open_2012
Federer R.,Masters 1000,Western & Southern Financial Group Masters,2012,1,Hard,0,Western & Southern Financial Group Masters_2012
Isner J.,ATP250,Winston-Salem Open at Wake Forest University,2012,14,Hard,0,Winston-Salem Open at Wake Forest University_2012
Murray A.,Grand Slam,US Open,2012,4,Hard,0,US Open_2012
Tsonga J.W.,ATP250,Open de Moselle,2012,7,Hard,0,Open de Moselle_2012
Klizan M.,ATP250,St. Petersburg Open,2012,45,Hard,0,St. Petersburg Open_2012
Gasquet R.,ATP250,Thailand Open,2012,14,Hard,0,Thailand Open_2012
Monaco J.,ATP250,Malaysian Open,2012,11,Hard,0,Malaysian Open_2012
Djokovic N.,ATP500,China Open,2012,2,Hard,0,China Open_2012
Nishikori K.,ATP500,Rakuten Japan Open Tennis Championships,2012,17,Hard,0,Rakuten Japan Open Tennis Championships_2012
Djokovic N.,Masters 1000,Shanghai Masters,2012,2,Hard,0,Shanghai Masters_2012
Seppi A.,ATP250,Kremlin Cup,2012,25,Hard,0,Kremlin Cup_2012
Berdych T.,ATP250,Stockholm Open,2012,6,Hard,0,Stockholm Open_2012
Del Potro J.M.,ATP250,Erste Bank Open,2012,8,Hard,0,Erste Bank Open_2012
Del Potro J.M.,ATP500,Swiss Indoors,2012,8,Hard,0,Swiss Indoors_2012
Ferrer D.,ATP500,Valencia Open 500,2012,5,Hard,0,Valencia Open 500_2012
Ferrer D.,Masters 1000,BNP Paribas Masters,2012,5,Hard,0,BNP Paribas Masters_2012
Murray A.,ATP250,Brisbane International,2013,3,Hard,0,Brisbane International_2013
Tipsarevic J.,ATP250,Chennai Open,2013,9,Hard,0,Chennai Open_2013
Gasquet R.,ATP250,Qatar Exxon Mobil Open,2013,10,Hard,0,Qatar Exxon Mobil Open_2013
Ferrer D.,ATP250,Heineken Open,2013,5,Hard,0,Heineken Open_2013
Tomic B.,ATP250,Apia International,2013,64,Hard,0,Apia International_2013
Djokovic N.,Grand Slam,Australian Open,2013,1,Hard,0,Australian Open_2013
Gasquet R.,ATP250,Open Sud de France,2013,10,Hard,0,Open Sud de France_2013
Zeballos H.,ATP250,VTR Open ,2013,73,Clay,0,VTR Open _2013
Cilic M.,ATP250,PBZ Zagreb Indoors,2013,12,Hard,0,PBZ Zagreb Indoors_2013
Del Potro J.M.,ATP500,ABN AMRO World Tennis Tournament,2013,7,Hard,0,ABN AMRO World Tennis Tournament_2013
Raonic M.,ATP250,SAP Open,2013,13,Hard,0,SAP Open_2013
Nadal R.,ATP250,Brasil Open,2013,5,Clay,0,Brasil Open_2013
Ferrer D.,ATP250,Copa Claro,2013,4,Clay,0,Copa Claro_2013
Tsonga J.W.,ATP250,Open 13,2013,8,Hard,0,Open 13_2013
Nishikori K.,ATP500,U.S. National Indoor Tennis Championships,2013,22,Hard,0,U.S. National Indoor Tennis Championships_2013
Nadal R.,ATP500,Abierto Mexicano,2013,5,Clay,0,Abierto Mexicano_2013
Gulbis E.,ATP250,International Championships,2013,109,Hard,0,International Championships_2013
Djokovic N.,ATP500,Dubai Tennis Championships,2013,1,Hard,0,Dubai Tennis Championships_2013
